,cluster_name,text
6410,3,lis130308
3118,2,平的，男宝宝
6333,2,肝S3段小血管瘤
13112,0,就长出来了
13975,0,没有淤青
3266,2,才满月，胳膊
7052,5,"我想咨询""血脂瘤"""
1501,8,你们医院地址在哪
9729,3,你上面的微信号可以加吗？我加你
11892,2,腿根部
11707,2,舌头上小红点
50,2,手指头上有一个像瘊子大小
8031,2,长在无名指手肚上
11342,16,我听说咱们医院是打针治疗血管瘤，请问打针打的是什么药物啊？
1721,2,看上去稍微有一点，但摸不出来
12950,4,血管瘤的话，治疗需要花费多少？
11226,2,深红色，有凸起
12315,0,一点点吧
1462,0,应该在
1259,6,有什么好的治疗方法吗？因为孩子太小
13173,2,新生儿两个月，后背有一个小米粒大小的血管瘤
3714,2,小孩3个月大在右手
4744,2,就是左边的内口腔
940,2,好像出尖了，有点
4151,2,哭的时候颜色变深
5024,2,乳腺腺瘤。
6723,1,刚发现五六天
6899,1,小时候做过一次冷冻手术
9919,2,还没高于皮肤
12136,2,孩子舌头中间
6563,1,发现这个红点挺多年了
1681,2,在动脉上
5356,2,鼻子头
6464,2,胸部以上脖子以下
6309,0,没去呢还  准备过几天去
13854,2,大人，肝右側边缘一个2.4✘1.9的血管瘤
10545,6,你们那是怎么治疗呢
1618,0,大人，没有胎记
9335,1,一两个月
3027,2,长在嘴巴上
13803,0,又复发了
8801,3,那我加她微信呗
1179,0,她说  到医院用激光打  一点  就能下去
11489,2,脑门上方
225,2,小孩在嘴角边
5645,2,现在越长越大
12080,2,头发里长的
1848,2,25岁，在脸上
6750,2,成人，在脖子左侧
2866,0,男宝四个半月
979,2,成人的 我从小就有的 在小舌头下面
10359,1,在左枕部  孩子现在6个月 2个月的时候发现的
10634,2,5x6亮米左眼上眼皮左角
10685,2,长在胳膊上，外面是青的，里面有小疙瘩
2164,2,青筋多
2924,5,"我想咨询""腮腺瘤的症状"""
11745,2,又点突起不大
264,1,以前没太注意 最近半年才发现
419,2,2个月，紫红色
8041,5,这种病严重么
8650,1,检查过，见意用眼药水治疗
14117,2,孩子快3个月 鼻梁子发青 不知道是不是海绵状血管瘤
1980,2,小孩，在脸上
6864,6,您好，我令年五十三岁肝上长了个血管溜我不知道怎么办。
8164,2,在肝附近
5264,11,我家孩子手心有红点，有的大夫说和血管瘤有关，是吗
10900,6,女，四十三周岁，长在肝上？现在没什么症状？问问大夫怎么治疗，还应注意什么？拜托了大夫请解答一下？
4034,2,比原来又突出了一点
3898,2,成人，双小腿
8375,2,一个红色的
11656,1,大概有一个多月了长得很快
12603,3,医生你微信多少
4802,2,好几天了  也没长大
12131,0,两个多月是女孩
4526,2,在脸的鬓角处，红色
14164,2,耳朵上面的
13831,1,刚一个月
13435,2,成人跟皮肤一样颜色
3646,1,年前医生说小也别做B超了！
14282,0,今天换药
2021,4,指甲那么大需要多少钱啊大概
396,1,医生建议药膏涂抹
14203,6,你们医院采用的什么仪器洗呢？
3036,2,胳膊上小，腿上大点
416,1,半年了
1401,3,我加您微信吧
11111,2,草莓状小指甲大小
9340,0,健康之路联系QQ：534769964  麻烦转达，非常感谢您
14285,2,后背左侧
11475,1,去了，说做冷冻怕留下疤痕
13542,0,张玉艳
841,2,孩子是疤痕体
959,7,血管瘤现在8公分多需要手术吗
2220,2,胳膊有一小块
5608,4,费用大概能多少
12366,2,生了眼皮就有点红
4336,3,谢谢你关心！我加您QQ
10998,2,新生儿，长在鼻翼旁
1015,9,确诊是不是腮腺血管瘤就用超声检查报告就可以吗
3320,0,2个月小孩
5853,1,医生说手术也行不手术也行，这都是好几年前看的
12176,3,打电话可以吗
3299,2,整个手背
10472,2,红色 像出血点   表面稍微凸起
12085,0,混合型的
11777,6,那不切除吗
3290,2,在肝部
10924,7,微创治疗后是不是还得吃点药呀
8941,1,还没确诊，有个医生朋友说是良性血管瘤，四平市
12404,8,地址在哪里
14178,2,今年有过一次少量出血
1215,2,多发性的意思就是还会在别处长吗
7063,2,整个小腿都有
3802,1,她前两年咳血…前几天查出来的
7851,2,28个月，鼻子👃上有血管瘤
280,2,这几天感觉有点扩张
3534,3,我加微信了，方便发图片
9922,2,三个半月，红色
3861,2,在肩上。
9715,2,长在大腿外侧，女孩
11476,15,没有啥副作用吧
4322,5,血管畸形和血管瘤的区别在哪啊？
3322,0,你们几点上班
5489,3,今生缘我的微信名
11228,2,偶尔好的时候是平的
6011,2,孩子胳膊上长了一个红点
1680,2,胎记是类似于斑的那个颜色
8549,6,手指瘤如何治疗
7700,6,激光治疗吗
63,1,有13年了
2257,6,我想咨询怎么治疗
13249,2,比正常皮肤稍微黑点
9132,0,两周岁
3825,2,屁股上边点 腰的部位吧
5242,2,但是我皮肤表面没有
7896,8,你们医院在什么地方
12676,11,长这个是怎么引起的呢
3831,2,越来越大
12104,2,不是很红，暗红
12012,2,之前以为是胎记，后来才知道是血管瘤
3515,13,今天才去社区体检大夫说的，我准备明天去当地医院再看看
1726,2,嘴唇两个月婴儿
14112,2,淋巴瘤
4618,2,长在子宫里
8584,2,出生3天，眼睛鼻梁上
10765,2,孩子，59天了，在眉心
11586,2,男孩，在眼角
5108,2,一个月没涨也没小
1884,2,蓝黑色的
6078,2,胳膊嘴肚子
2450,4,费用高么？
7921,1,孩子现在3个月，刚出生的时候小点，现在突起啦
7461,2,肚子有一点刚开始没颜色很淡越来越红
1959,1,以前做过彩超
2830,1,以前有个紫血泡不算太，大概六七年了，最近半个月前团突然长出个肉揪
10328,1,几年了，说没事就没注意
9139,2,在同一部位肿大消除了，在同一部位的旁边发现肿大淋巴结
12993,2,脸上红色胎记女33岁
11076,2,有点高
7831,0,好于皮肤
8252,2,患处在肩膀，一元硬币大小
10089,2,不明显
5179,0,6个月男孩
14151,0,刘明泽
5141,0,女孩一个月，
6197,1,在抚顺中心医院看过
10014,0,冯泺依
3909,6,血管瘤应该怎么治疗
14071,2,成人 嘴唇里面长了个血管瘤
1470,0,没有长大
385,14,会遗传么
12351,2,红色，就从伤口处长出来一块儿肉一碰总流血
12947,6,能和我说说你们的治疗方式吗
6604,2,宝宝，3个月，长在左手臂上
10728,2,我左脚左边凉右手中指麻
8039,2,成人，长在脑部。
2902,1,做手术了
5960,2,不是胎记
3874,1,单位体检，报告可能过几天出
7838,6,需要做手术吗
13694,2,有小嘎哒面积一直整摸大
6095,2,在后颈部
1516,3,我让家长加您微信跟您说
3427,1,三年前去沈阳七院，看的，说是血管瘤，用激光能打下去，
4746,2,20了，在鼻子周围
5412,2,在手指上、成年人
3126,16,您好！黄睑瘤能用药治疗吗？
6376,6,你们医院怎么治疗我想问问
422,2,跟皮肤一个色
2490,0,3个月女
342,0,孟丽娜
11505,2,张在嘴唇上，和鼻根处，红色，哭闹红的严重
2080,2,刚开始是红色的，后来变黑色了
9380,6,这样需要怎么治疗
13493,2,在左脸上有一小块
1473,1,30多岁。半年了
2355,2,2个月宝宝嘴唇上人中位置有血管瘤，红色
5714,0,片子没有了好多年前照的
5937,2,以前一直以为是胎记
7763,4,费用多少呢
13179,2,男孩子12岁，长在颈部
6156,0,新生儿，四十多天
12749,4,做海绵血管瘤治疗费多少钱
3967,2,在唇红的地方，做完会不会出现唇红变白色
14235,5,你好什么是海绵血管瘤
8125,1,十六个月
950,11,我只想知道形成原因
66,2,大夫说好像是长在肉上
9645,2,在肛门
2501,11,相知道她六岁时打的，怎么现在又在旁边长两个，什么原因
4298,2,应该在腰
3243,2,22天，新生儿，在脸上
2433,1,两个半月，患处在头部，直径一厘米，不规则椭圆形
8602,0,三岁女宝
7489,5,会长大，是不
481,1,去医院做过彩超
2729,0,凌源的
3029,8,地址在哪里啊
7490,2,红紫色
3187,0,张语涵
9979,2,褐色的，三个小点
1585,2,脖子下面有红包的
3390,6,如果是的话 激光还是什么
7780,3,1556792****  这是我的微信
2755,4,微创手术大概要多少钱做完手术就好了吗
2669,2,哦我这个比较特殊我这是血管瘤加上静脉曲张
11759,2,面积大约有一到二个平方厘米
7717,2,有一点点的
13736,2,青色，有一点
3287,6,哪种方式治疗比较好？
13413,1,2个月，长在脚上
14107,2,脚踝，孩子
4600,6,是切除么
6383,2,瘤长在肉里。
1596,2,凸起，鼻尖下方处
8875,17,大约多少算住院
9407,2,眼皮个嘴
12997,2,现在感觉不高了，也不那么大了，血管瘤漏出肉色了，不知道是不是可以自己吸收
6722,2,在肚皮上
3532,2,两个多月在额头上边部位
5345,12,后脑勺有一个硬包，今天扎针灸的时候不小心扎到了，周围还扎了几针，然后周围有一针出血了，我想起来这有个硬包，医生说是皮脂瘤，扎到了没事，但我还是害怕会不会有扩散什么的。
1740,2,在左膝盖左侧
7364,0,我有这个微信也是你们那的
6321,2,宝宝，在脖子后
11908,1,刚发现！满月剪头才发现
12040,2,还没，以前不知道，今天突然看到和我家孩子挺像的孩子出现，他妈妈说是血管溜
3430,2,左耳朵里有响声
4708,0,刚出生几天
9593,7,胎儿右主脉弓、可以手术吗
8325,2,开始是红色
10862,6,八个月大婴儿患海绵状血管瘤怎么治疗
8101,2,是平的，颜色类式于擦伤后的样子。
2700,2,平的，鲜红颜色
14166,12,这个有什么危险吗
10012,0,辽源，有
2318,2,肾右侧
4738,4,得多少钱
12857,2,13岁，女孩子，颜色发青，手指甲大小，平时就像嘴唇上鼓个包，不太明显，低头时间长就变大
1317,2,出生时应该没有，没太注意，上个月末发现红色印记的
9889,16,有涂抹的药物吗
1512,2,我女儿耳朵上有一块草莓行血管瘤
4397,6,什么方案
11449,5,整个胳膊都是胎记，而且最近变粗了，是什么问题
13488,0,一点点
9255,1,婴儿32天
13142,3,要我微信号了，怎么还没加我
9646,2,现在长的跟黄豆那么大了是平的
12877,8,你医院在什么位置
7448,2,宝宝先天性血管瘤
7803,2,脂肪肝血管瘤
12388,1,平的2个多月
9049,3,我微信402192501
4706,2,脚掌上
10252,0,三个月男宝
11174,2,内上眼皮
2245,2,婴儿 鼻子上
11684,2,特别特别小
524,1,治疗过，没有下去，做过两回放射线
311,0,刚出生15天
6079,2,女宝宝，比皮肤高一点
10709,1,人，诊断，左侧海绵窦区占位性病变，血管瘤可能性大
7345,2,六个月脖子下有红
7669,2,右侧腮腺有包块
5691,2,是成人，小时诊断是海绵状血管瘤在右侧太阳穴长在里面
7145,1,看过  医生说不用害怕  孩子大一点用激光打
11220,3,1504355****微信号同步
745,2,齿突血管瘤长在颈椎
4016,2,脸上脸上
2879,0,你们在上面位置
4683,2,脑右基底 肝右边 57岁
12039,2,海绵装血管瘤吧
10824,6,介入和注射一样么
1793,0,有空我去
3747,11,为什么长啊
7181,6,那激光治疗呢
6676,2,浅红，有
1584,2,眼皮上对衬
7404,2,现在比图片大，红，高
6977,2,凸起的鲜红色
5250,0,我这有个医生建的群
7871,1,发现一个多月了，比原来大了些，家在鞍山
378,2,在.浅表区皮下
5906,2,开始红色，现在属于黑红
2770,2,像豆那么大
7480,2,婴儿头部
13153,2,凸出皮肤的
10615,2,乳房左边有个血流
5682,2,特别红，像血泡
9175,4,以上您所说的微创什么的费用高吗，能控制住病情吗
6341,2,红色凸起的|
11264,2,有一点点
9932,17,需要住院么
12084,1,发现有十几天了，男宝
704,2,宝宝4岁半，长在脚心处
7709,2,现在有点起皮，皮有点硬
12317,6,怎么办
1471,2,太田痣
1089,3,1524159****直接加电话号码就可以
11584,2,没颜色，30岁
5555,0,感觉是
4568,1,普萘诺尔他让吃这个药
4477,2,颜色有点深红
14308,0,高瑛颢
7568,0,赵睿婕
1734,2,您好。是三个月婴儿，在左耳上后部皮下红色没突起。左耳后可覆盖的部位有一处突起，大约5mmX3mm
2448,2,左眉弓上方
2468,2,青色  有点紫白
12608,0,治疗感觉不会有什么影响吧？
6811,2,小孩在腿部
2631,0,5个月婴儿
6058,1,10多年了，没去医院，只是在网上看象是血管瘤
9956,0,医生建议先观察  看看说孩子太小了
8071,2,鼻子老出血
5333,2,我感觉有一厘米长了吧
11288,5,是什么病？
3519,2,耳朵前面
5894,0,我加的吧
2560,2,女宝，只是腮部一边偏大一点，没有高的凸起
2969,2,男孩右面部
8810,2,左侧胯骨上边
